ACL;Atlantic Container Line
AJC;Australia Japan Container Line
ANL;Aus National Line
APL;American President Line
AZD;Australia-New Zealand Direct Line
BAL;Balihai Service
BEN;Ben Line
CBL;Columbus Line
CHL;Consortium Hispania Lines
CHO;Cho Yang Shipping
CHS;China Shipping
CMA;CMA CGM The French Line
CNC;Cheng Lie Navigation
CNI;Compania Chilena Navegacion Inter
COS;China Ocean Shipping Ltd.
CSG;China Shipping Group CompanyÿLines
DAL;Deutsche Afrika Linien
DMS;Delmas ASEA
DNA;Dongnama
DTG;DAL transport
EMC;Evergreen
GCL;Global Container Line
GSL;Gold Star Line
HAL;Heung-A Shipping
HAN;Hanjin Shipping
HLC;Hapag Lloyd
HMM;Hyundai Merchant Marine
IAL;Inter Asia Line
KLI;Kawasaki Kisen Kaisha Ltd.
MAC;MAC Line
MIS;Malaysian International Shipping Corporation
MOL;Mitsui O.S.K. Lines Ltd.
MSK;Maersk Sealand
NOL;Neptune Orient Lines Ltd.
NYK;Nippon Yusen Kaisha
OCL;OCL
OLC;Orient Lines
OOL;Orient Overseas Container Line
PIL;Pacific International Lines
PON;P & O Nedlloyd Container Lines
POS;P & O Swire Containers Ltd.
POC;P & O Med. Service
SAF;Safmarine
SCN;SCNZ New Zealand Line
SIT;SITC Container Lines
SSL;Sanshinel
TCS;Transcont
TMM;Transportation Maritima Mexican
TOL;Transocean
TSA;Transatlantic
UAF;United Africa Feeder Line
WHL;Wan Hai Lines
WWL;Wilhelmsen Lines
YML;Yang Ming Line
ZIM;Israel Navigation Company
